,Artist,Rank,Song1,Year
261,Frank Sinatra,112,That's What God Looks Like To Me,1980
262,The Platters,113,Out Of My Mind,1958
263,Elvis Presley,114,That's When Your Heartaches Begin,1957
264,The Chords [New York],115,Little Maiden,1954
265,Bobby Darin,116,That's The Way Love Is,1960
266,Dion (Di Muci),117,You're Mine,1963
267,The Moonglows,118,Tempting,1954
268,The Aquatones,119,You,1958
269,Elvis Presley,120,Edge Of Reality,1968
270,Tommy James And The Shondells,121,One Two Three And I Fell,1968
271,Simon And Garfunkel,122,We've Got A Groovey Thing Goin',1965
272,The Fireflies,123,Stella Got A Fella,1959
273,The 4 Seasons,124,Connie-O,1962
274,Vito And The Salutations,125,Let's Untwist The Twist,1962
275,Jay And The Americans,126,Since I Don't Have You,1968
276,The Critters,127,It Just Won't Be That Way,1966
277,Bobby Day,128,Over And Over,1958
278,Harvey And The Moonglows,129,Mean Old Blues,1958
279,The Teenagers Featuring Frankie Lymon,130,Please Be Mine,1955
280,Elvis Presley,131,My Baby Left Me,1956
281,The Beatles,132,You Know My Name (Look Up My Number),1970
282,The Moody Blues,133,Cities,1972
283,Robert And Johnny,134,Walking In The Rain,1957
284,Johnny Mathis,135,The Twelfth Of Never,1957
285,Elvis Presley With The JordanairesElvis Sings - Vol. 1A,136,No MoreB1,1963
286,Percy Sledge,137,Love Me Like You Mean It,1966
287,The Beach Boys,138,Let's Go Away For Awhile,1966
288,Richard Harris,139,Didn't We,1968
289,The Capris [New York],140,Indian Girl,1960
290,The Temptations,141,You'll Lose A Precious Love,1966
291,Roy Orbison,142,Candy Man,1961
292,Bobby Darin,143,Bullmoose,1959
293,Mel Carter,144,A Sweet Little Girl,1965
294,Elvis Presley With The Jordanaires,145,A Mess Of Blues,1960
295,The Everly Brothers,146,Since You Broke My Heart,1959
296,The Beatles,147,Come Together,1969
297,Frankie Avalon,148,I'm Broke,1959
298,The Shields,149,That's The Way It's Gonna Be,1958
299,Paul Anka,150,Don't Ever Leave Me,1959
300,Buddy Holly,151,Rave On,1958
301,The Crystals,152,Then He Kissed Me,1963
302,Lulu,153,The Boat That I Row,1967
303,Frankie Valli,154,Can't Take My Eyes Off You,1967
304,The Dave Clark Five,155,Because,1964
305,The Mama's And The Papa's,156,California Dreamin',1965
306,The Grass Roots,157,Midnight Confessions,1968
307,Dusty Springfield,158,I Only Want To Be With You,1963
308,The Dixie Cups,159,Chapel Of Love,1964
309,The Earls,160,Never,1963
310,Harry Chapin,161,Taxi,1972
311,Paul Anka,162,Diana,1957
312,Carl Perkins,163,Blue Suede Shoes,1956
313,Bob Seger And The Silver Bullet Band,164,Old Time Rock & RollBob Seger,1979
314,Petula Clark,165,Downtown,1964
315,Barry McGuire,166,Eve Of Destruction,1965
316,Lee Andrews And The Hearts,167,Teardrops,1957
317,The Dells,168,Oh What A Nite,1956
318,Ray Peterson,169,Tell Laura I Love Her,1960
319,The Monkees,170,Daydream Believer,1967
320,Barbra Streisand,171,"Love Theme From ""A Star Is Born"" (Evergreen)",1976
321,Ricky Nelson,172,Travelin' Man,1961
322,The Tune Weavers,173,"Happy, Happy Birthday BabyPaul Gayten",1957
323,The Police,174,Every Breath You Take,1983
324,The Harp-Tones,175,A Sunday Kind Of Love,1953
325,The Cleftones,176,Heart And Soul,1961
326,Derek And The Dominos,177,Layla,1971
327,The Beatles,178,The Long And Winding Road,1970
328,Elvis Presley,179,One NightElvis Presley With The Jordanaires,1958
329,The Devotions,180,Rip Van Winkle,1964
330,Elvis Presley With The Jordanaires,181,Loving You,1957
331,The 3 Friends,182,Blanche,1956
332,The Platters,183,Harbor Lights,1960
333,Rod Stewart,184,Reason To Believe,1971
334,Randy And The Rainbows,185,Denise,1963
335,Conway Twitty,186,It's Only Make Believe,1958
336,The Crickets,187,That'll Be The Day,1957
337,Sam Cooke,188,You Send Me,1957
338,The Everly Brothers,189,All I Have To Do Is Dream,1958
339,The Beatles,190,Help!,1965
340,The Beach Boys,191,California Girls,1965
341,Clyde McPhatter,192,Treasure Of Love,1956
342,Rosie And The Originals,193,Angel Baby,1960
343,Paul And Paula,194,Young Lovers,1963
344,The Everly Brothers,195,Bye Bye Love,1957
345,Stevie Wonder,196,I Just Called To Say I Love You,1984
346,J. Frank Wilson And The Cavaliers,197,Last Kiss,1964
347,The Students,198,I'm So Young,1958
348,John Lennon,199,WomanYoko Ono,1981
349,Johnny Mathis,200,Misty,1959
350,Buddy Holly,151,Take Your Time,1958
351,The Crystals,152,Brother Julius,1963
352,Lulu,153,To Sir With Love,1967
353,Frankie Valli,154,The Trouble With Me,1967
354,The Dave Clark Five,155,Theme Without A Name,1964
355,The Mama's And The Papa's,156,Somebody Groovy,1965
356,The Grass Roots,157,Who Will You Be Tomorrow,1968
357,Dusty Springfield,158,Once Upon A Time,1963
358,The Dixie Cups,159,Ain't That Nice,1964
359,The Earls,160,I Keep A Tellin' You,1963
360,Harry Chapin,161,Empty,1972
361,Paul Anka,162,Don't Gamble With Love,1957
362,Carl Perkins,163,"Honey, Don't!",1956
363,Bob Seger And The Silver Bullet Band,164,Sunspot Baby,1979
364,Petula Clark,165,You'd Better Love Me,1964
365,Barry McGuire,166,What Exactly's The Matter With Me,1965
366,Lee Andrews And The Hearts,167,The Girl Around The Corner,1957
367,The Dells,168,Jo-Jo,1956
368,Ray Peterson,169,Wedding Day,1960
369,The Monkees,170,Goin' Down,1967
370,Barbra Streisand,171,I Believe In Love,1976
371,Ricky Nelson,172,Hello Mary Lou,1961
372,The Tune Weavers,173,Yo Yo Walk,1957
373,The Police,174,Murder By Numbers,1983
374,The Harp-Tones,175,I'll Never Tell,1953
375,The Cleftones,176,How Do You Feel,1961
376,Derek And The Dominos,177,I Am Yours,1971
377,The Beatles,178,For You Blue,1970
378,Elvis Presley,179,I Got Stung,1958
379,The Devotions,180,(I Love You) For Sentimental Reasons,1964
380,Elvis Presley With The Jordanaires,181,(Let Me Be Your) Teddy Bear,1957
381,The 3 Friends,182,Baby I'll Cry,1956
382,The Platters,183,Sleepy Lagoon,1960
383,Rod Stewart,184,Maggie May,1971
384,Randy And The Rainbows,185,Come Back,1963
385,Conway Twitty,186,I'll Try,1958
386,The Crickets,187,I'm Lookin' For Someone To Love,1957
387,Sam Cooke,188,Summertime,1957
388,The Everly Brothers,189,Claudette,1958
389,The Beatles,190,I'm Down,1965
390,The Beach Boys,191,Let Him Run Wild,1965
391,Clyde McPhatter,192,When You're Sincere,1956
392,Rosie And The Originals,193,Give Me Love,1960
393,Paul And Paula,194,Ba-Hey-Be,1963
394,The Everly Brothers,195,I Wonder If I Care As Much,1957
395,Stevie Wonder,196,I Just Called To Say I Love You (Instrumental),1984
396,J. Frank Wilson And The Cavaliers,197,That's How Much I Love You,1964
397,The Students,198,Every Day Of The Week,1958
398,John Lennon,199,Beautiful Boys,1981
399,Johnny Mathis,200,The Story Of Our Love,1959
400,Frank Sinatra,201,Strangers In The Night,1966
401,Lou Christie,202,Lightnin' Strikes,1965
402,Brooklyn Bridge,203,Your Husband - My Wife,1969
403,Connie Francis,204,God Bless America,1959
404,Billy Joel,205,Just The Way You Are,1977
405,Barry Mann,206,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961
406,Big Bopper,207,Chantilly Lace,1958
407,Roy Orbison,208,Only The Lonely (Know The Way I Feel),1960
408,Creedence Clearwater Revival,209,Proud Mary,1968
409,Aretha Franklin,210,Respect,1967
410,Bruce Springsteen,211,Born To Run,1975
411,The Drifters,212,Save The Last Dance For Me,1960
412,Mark Dinning,213,Teen Angel,1959
413,Elton John,214,Your Song,1970
414,The Left Banke,215,Walk Away Renee,1966
415,Frankie Lymon And The Teenagers,216,The A B C's Of Love,1956
416,The Jesters [doowop],217,The Wind,1960
417,Jimmy Charles And The Revelletts,218,A Million To One,1960
418,Eddie Cochran,219,Summertime Blues,1958
419,The Knockouts,220,Darling Lorraine,1959
420,The Teen Queens,221,Eddie My Love,1956
421,The Flamingos,222,Lovers Never Say Goodbye,1958
422,Lenny Welch,223,Since I Fell For You,1963
423,Swingin' Medallions,224,Double Shot (Of My Baby's Love),1966
424,The Beach Boys,225,"Help Me, Rhonda",1965
425,Elvis Presley,226,Moody Blue,1976
426,The Mystics [New York],227,Hushabye,1959
427,The Righteous Brothers,228,(You're My) Soul And Inspiration,1966
428,The Skyliners,229,Pennies From Heaven,1960
429,Tommy James And The Shondells,230,I Think We're Alone Now,1967
430,Beach Boys,231,Surfin' U.S.A.,1963
431,Four Tops,232,Reach Out I'll Be There,1966
432,The Teddy Bears,233,"To Know Him, Is To Love Him",1958
433,The BeatlesA,234,Sgt. Pepper's Lonely Hearts Club BandA,1978
434,Neil Diamond,235,Sweet Caroline (Good Times Never Seemed So Good),1969
435,Elvis Presley With The Jordanaires,236,Return To Sender,1962
436,Diana Ross And The Supremes,237,Love Child,1968
437,The Brooklyn Bridge,238,Blessed Is The Rain,1969
438,The 4 Seasons,239,Dawn (Go Away),1964
439,Connie Francis,240,Who's Sorry Now,1957
440,Chuck Berry And His Combo,241,Maybellene,1955
441,Marcie Blane,242,Bobby's Girl,1962
442,Elvis Presley,243,In The Ghetto,1969
443,The Shangri-Las,244,Leader Of The Pack,1964
444,The Dubs,245,Don't Ask Me (To Be Lonely),1957
445,Sam The Sham And The Pharaohs,246,Wooly Bully,1965
446,Curtis Lee,247,Pretty Little Angel Eyes,1961
447,The Beatles,248,And I Love Her,1964
448,Dion,249,"Abraham, Martin And John",1968
449,Barbra Streisand,250,Memory,1982
450,Frank Sinatra,201,"Oh, You Crazy Moon",1966
451,Lou Christie,202,Cryin' In The Streets,1965
452,Brooklyn Bridge,203,Upside Down (Inside Out),1969
453,Connie Francis,204,Among My Souvenirs,1959
454,Billy Joel,205,Get It Right The First Time,1977
455,Barry Mann,206,"Love, True Love",1961
456,Big Bopper,207,Purple People Eater Meets Witch Doctor,1958
457,Roy Orbison,208,Here Comes That Song Again,1960
458,Creedence Clearwater Revival,209,Born On The Bayou,1968
459,Aretha Franklin,210,Dr. Feelgood,1967
460,Bruce Springsteen,211,Meeting Across The River,1975
461,The Drifters,212,Nobody But Me,1960
462,Mark Dinning,213,Bye Now Baby,1959
463,Elton John,214,Take Me To The Pilot,1970
464,The Left Banke,215,I Haven't Got The Nerve,1966
465,Frankie Lymon And The Teenagers,216,Share,1956
466,The Jesters [doowop],217,Sally Green,1960
467,Jimmy Charles And The Revelletts,218,Hop Scotch Hop,1960
468,Eddie Cochran,219,Love Again,1958
469,The Knockouts,220,Riot In Room 3C,1959
470,The Teen Queens,221,Just Goofed,1956
471,The Flamingos,222,That Love Is You,1958
472,Lenny Welch,223,Are You Sincere,1963
473,Swingin' Medallions,224,Here It Comes Again,1966
474,The Beach Boys,225,"Kiss Me, Baby",1965
475,Elvis Presley,226,She Thinks I Still Care,1976
476,The Mystics [New York],227,Adam And Eve,1959
477,The Righteous Brothers,228,B Side Blues,1966
478,The Skyliners,229,I'll Be Seeing You,1960
479,Tommy James And The Shondells,230,"Gone, Gone, Gone.",1967
480,Beach Boys,231,Shut Down,1963
481,Four Tops,232,Until You Love Someone,1966
482,The Teddy Bears,233,Don't You Worry My Little Pet,1958
483,The BeatlesA,234,With A Little Help From My FriendsB1,1978
484,Neil Diamond,235,Dig In,1969
485,Elvis Presley With The Jordanaires,236,Where Do You Come From,1962
486,Diana Ross And The Supremes,237,Will This Be The Day,1968
487,The Brooklyn Bridge,238,Welcome Me Love,1969
488,The 4 Seasons,239,No Surfin' Today,1964
489,Connie Francis,240,You Were Only Fooling (While I Was Falling In Love),1957
490,Chuck Berry And His Combo,241,Wee Wee Hours,1955
491,Marcie Blane,242,A Time To Dream,1962
492,Elvis Presley,243,Any Day Now,1969
493,The Shangri-Las,244,What Is Love,1964
494,The Dubs,245,Darling,1957
495,Sam The Sham And The Pharaohs,246,Ain't Gonna Move,1965
496,Curtis Lee,247,Gee How I Wish You Were Here,1961
497,The Beatles,248,If I Fell,1964
498,Dion,249,Daddy Rollin' (In Your Arms),1968
499,Barbra Streisand,250,"Evergreen (Love Theme From ""A Star Is Born"")",1982
500,The Surfaris,251,Wipe Out,1963
501,The Supremes,252,Baby Love,1964
502,? (Question Mark) And The Mysterians,253,96 Tears,1966
503,Billy Joel,254,Piano Man,1973
504,Jerry Lee Lewis,255,Whole Lot Of Shakin' Going On,1957
505,The Videos,256,"Trickle, Trickle",1958
506,The Monkees,257,I'm A Believer,1966
507,The Beatles,258,Hey Jude,1968
508,The Everly Brothers,259,Cathy's Clown,1960
509,The Shirelles,260,Dedicated To The One I Love,1959
510,Fats Domino,261,Walking To New Orleans,1960
511,The Regents [New York],262,Barbara-Ann,1961
512,Van Morrison,263,Moondance,1977
513,The Beatles,264,Run For Your Life,1966
514,Jay And The Americans,265,Dawning,1962
515,Vito And The Salutations,266,Unchained Melody,1963
516,Bobby Rydell,267,Volare,1960
517,The Corsairs,268,Smoky Places,1961
518,Isley Brothers,269,This Old Heart Of Mine (Is Weak For You),1966
519,The Everly Brothers,270,Wake Up Little Susie,1957
520,The Five Discs,271,Never Let You Go,1962
521,Procol Harum,272,A Whiter Shade Of Pale,1967
522,The Shells,273,Baby Oh Baby,1960
523,The Contours,274,Do You Love Me,1962
524,Jan And Dean,275,Surf City,1963
525,Ricky Nelson,276,Poor Little Fool,1958
526,The Fascinators,277,Chapel Bells,1958
527,Jerry Lee Lewis And His Pumping Piano,278,Great Balls Of Fire,1957
528,The Beach Boys,279,I Get Around,1964
529,Crest's,280,My Juanita,1957
530,The Happenings,281,See You In September,1966
531,Jive Five With Eugene Pitt,282,What Time Is It?,1962
532,The Monotones,283,Book Of Love,1958
533,Johnnie And Joe,284,Over The Mountain Across The Sea,1957
534,Jay And The Americans,285,Come A Little Bit Closer,1964
535,The Supremes,286,Where Did Our Love Go,1964
536,The Fleetwoods,287,Mr. Blue,1959
537,Bruce Springsteen,288,Born In The U.S.A.,1984
538,The Beatles,289,She Loves You,1964
539,The Ronettes,290,Walking In The Rain,1964
540,The 4 Seasons,291,Opus 17 (Don't You Worry 'Bout Me),1966
541,The Beatles,292,Penny Lane,1967
542,Elvis Presley,293,Always On My Mind,1972
543,Moonglows,294,Most Of All,1955
544,Maurice Williams And The Zodiacs,295,Stay,1960
545,Dion Di Muci,296,Drip Drop,1963
546,The Cyrkle,297,Red Rubber Ball,1966
547,Jay And The Americans,298,Walkin' In The Rain,1969
548,Creedence Clearwater Revival,299,Bad Moon Rising,1969
549,The Crests,300,Step By Step,1960
550,The Surfaris,251,Surfer Joe,1963
551,The Supremes,252,Ask Any Girl,1964
552,? (Question Mark) And The Mysterians,253,Midnight Hour,1966
553,Billy Joel,254,You're My Home,1973
554,Jerry Lee Lewis,255,It'll Be Me,1957
555,The Videos,256,"Moonglow, You Know",1958
556,The Monkees,257,(I'm Not Your) Steppin' Stone,1966
557,The Beatles,258,Revolution,1968
558,The Everly Brothers,259,Always It's You,1960
559,The Shirelles,260,Look A Here Baby,1959
560,Fats Domino,261,Don't Come Knockin',1960
561,The Regents [New York],262,I'm So Lonely,1961
562,Van Morrison,263,Cold Wind In August,1977
563,The Beatles,264,In My Life,1966
564,Jay And The Americans,265,She Cried,1962
565,Vito And The Salutations,266,"Hey, Hey, Baby",1963
566,Bobby Rydell,267,I'd Do It Again,1960
567,The Corsairs,268,Thinkin' (Maybe She's Changed Her Ways),1961
568,Isley Brothers,269,There's No Love Left,1966
569,The Everly Brothers,270,Maybe Tomorrow,1957
570,The Five Discs,271,That Was The Time,1962
571,Procol Harum,272,Lime Street Blues,1967
572,The Shells,273,What's In An Angel's Eyes,1960
573,The Contours,274,Move Mr. Man,1962
574,Jan And Dean,275,She's My Summer Girl,1963
575,Ricky Nelson,276,Don't Leave Me This Way,1958
576,The Fascinators,277,I Wonder Who,1958
577,Jerry Lee Lewis And His Pumping Piano,278,You Win Again,1957
578,The Beach Boys,279,Don't Worry Baby,1964
579,Crest's,280,Sweetest One,1957
580,The Happenings,281,He Thinks He's A Hero,1966
581,Jive Five With Eugene Pitt,282,Beggin' You Please,1962
582,The Monotones,283,You Never Loved Me,1958
583,Johnnie And Joe,284,"My Baby's Gone, On, On",1957
584,Jay And The Americans,285,Goodbye Boys Goodbye (Ciao Ragazzi Ciao),1964
585,The Supremes,286,He Means The World To Me,1964
586,The Fleetwoods,287,You Mean Everything To Me,1959
587,Bruce Springsteen,288,Shut Out The Light,1984
588,The Beatles,289,I'll Get You,1964
589,The Ronettes,290,How Does It Feel?,1964
590,The 4 Seasons,291,Beggars' Parade,1966
591,The Beatles,292,Strawberry Fields Forever,1967
592,Elvis Presley,293,Separate Ways,1972
593,Moonglows,294,She's Gone,1955
594,Maurice Williams And The Zodiacs,295,Do You Believe,1960
595,Dion Di Muci,296,No One's Waiting For Me,1963
596,The Cyrkle,297,How Can I Leave Her,1966
597,Jay And The Americans,298,(I'd Kill) For The Love Of A Lady,1969
598,Creedence Clearwater Revival,299,Lodi,1969
599,The Crests,300,Gee (But I'd Give The World),1960
600,Bob Dylan,301,Like A Rolling Stone,1965
601,The Drifters,302,There Goes My Baby,1959
602,The Hollies,303,Bus Stop,1966
603,The Mama's And The Papa's,304,"Monday, Monday",1966
604,Buddy Holly,305,Peggy Sue,1957
605,Ben E. King,306,Spanish Harlem,1960
606,Ritchie Valens,307,"Come On, Let's Go",1958
607,Jack Scott,308,My True Love,1958
608,Mr. Acker Bilk,309,Stranger On The Shore,1962
609,Diana Ross,310,Ain't No Mountain High Enough,1970
610,Sonny And Cher,311,I Got You Babe,1965
611,The Velvets Featuring Virgil Johnson,312,Tonight (Could Be The Night),1961
612,The Clovers,313,Devil Or Angel,1956
613,Tommy James And The Shondells,314,Crimson And Clover,1968
614,The Kingsmen,315,Louie Louie,1963
615,The Demensions,316,Over The Rainbow,1960
616,John Waite,317,Missing You,1984
617,Martha And The Vandellas,318,Dancing In The Street,1964
618,Bobby Goldsboro,319,Honey,1968
619,The Jackson 5,320,I'll Be There,1970
620,The Beatles,321,Strawberry Fields Forever,1967
621,The Beach Boys,322,Wouldn't It Be Nice,1966
622,Lesley Gore,323,It's My Party,1963
623,The Righteous Brothers,324,Ebb Tide,1965
624,Gene Pitney,325,Town Without Pity,1961
625,Bread,326,If,1971
626,Kenny Rogers,327,Lady,1980
627,Fleetwoods,328,Come Softly To Me,1959
628,The Animals,329,The House Of The Rising Sun,1964
629,Barry Manilow,330,Even Now,1978
630,Freddy Cannon,331,Palisades Park,1962
631,Don And Juan,332,What's Your Name,1961
632,Neil Diamond,333,I Am... I Said,1971
633,The Crystals,334,Da Doo Ron Ron (When He Walked Me Home),1963
